customer_id,contract_type,paperless_billing,payment_method
7590-VHVEG,Month-to-month,True,Electronic check
5575-GNVDE,One year,False,Mailed check
3668-QPYBK,Month-to-month,True,Mailed check
7795-CFOCW,One year,False,Bank transfer (automatic)
9237-HQITU,Month-to-month,True,Electronic check
9305-CDSKC,Month-to-month,True,Electronic check
1452-KIOVK,Month-to-month,True,Credit card (automatic)
6713-OKOMC,Month-to-month,False,Mailed check
7892-POOKP,Month-to-month,True,Electronic check
6388-TABGU,One year,False,Bank transfer (automatic)
9763-GRSKD,Month-to-month,True,Mailed check
7469-LKBCI,Two year,False,Credit card (automatic)
8091-TTVAX,One year,False,Credit card (automatic)
0280-XJGEX,Month-to-month,True,Bank transfer (automatic)
5129-JLPIS,Month-to-month,True,Electronic check
3655-SNQYZ,Two year,False,Credit card (automatic)
8191-XWSZG,One year,False,Mailed check
9959-WOFKT,Two year,False,Bank transfer (automatic)
4190-MFLUW,Month-to-month,False,Credit card (automatic)
4183-MYFRB,Month-to-month,True,Electronic check
8779-QRDMV,Month-to-month,True,Electronic check
1680-VDCWW,One year,False,Bank transfer (automatic)
1066-JKSGK,Month-to-month,False,Mailed check
3638-WEABW,Two year,True,Credit card (automatic)
6322-HRPFA,Month-to-month,False,Credit card (automatic)
6865-JZNKO,Month-to-month,True,Bank transfer (automatic)
6467-CHFZW,Month-to-month,True,Electronic check
8665-UTDHZ,Month-to-month,False,Electronic check
5248-YGIJN,Two year,True,Credit card (automatic)
8773-HHUOZ,Month-to-month,True,Mailed check
3841-NFECX,Two year,True,Credit card (automatic)
4929-XIHVW,Month-to-month,True,Credit card (automatic)
6827-IEAUQ,One year,False,Mailed check
7310-EGVHZ,Month-to-month,False,Bank transfer (automatic)
3413-BMNZE,Month-to-month,False,Bank transfer (automatic)
6234-RAAPL,Two year,False,Bank transfer (automatic)
6047-YHPVI,Month-to-month,True,Electronic check
6572-ADKRS,Month-to-month,True,Credit card (automatic)
5380-WJKOV,Month-to-month,True,Electronic check
8168-UQWWF,Month-to-month,True,Bank transfer (automatic)
8865-TNMNX,One year,False,Mailed check
9489-DEDVP,Two year,True,Credit card (automatic)
9867-JCZSP,One year,False,Mailed check
4671-VJLCL,Two year,True,Credit card (automatic)
4080-IIARD,Month-to-month,True,Electronic check
3714-NTNFO,Month-to-month,True,Electronic check
5948-UJZLF,Month-to-month,False,Mailed check
7760-OYPDY,Month-to-month,True,Electronic check
7639-LIAYI,Two year,True,Credit card (automatic)
2954-PIBKO,Two year,True,Credit card (automatic)
8012-SOUDQ,Month-to-month,True,Electronic check
9420-LOJKX,Month-to-month,True,Credit card (automatic)
6575-SUVOI,Month-to-month,True,Credit card (automatic)
7495-OOKFY,Month-to-month,True,Credit card (automatic)
4667-QONEA,One year,True,Credit card (automatic)
1658-BYGOY,Month-to-month,True,Electronic check
8769-KKTPH,One year,True,Credit card (automatic)
5067-XJQFU,One year,True,Electronic check
3957-SQXML,Two year,False,Credit card (automatic)
5954-BDFSG,Two year,True,Credit card (automatic)
0434-CSFON,Month-to-month,True,Electronic check
1215-FIGMP,Month-to-month,True,Bank transfer (automatic)
0526-SXDJP,Two year,False,Bank transfer (automatic)
0557-ASKVU,One year,True,Credit card (automatic)
5698-BQJOH,Month-to-month,False,Electronic check
5122-CYFXA,Month-to-month,True,Electronic check
8627-ZYGSZ,One year,True,Electronic check
3410-YOQBQ,Two year,False,Mailed check
3170-NMYVV,Two year,False,Bank transfer (automatic)
7410-OIEDU,Month-to-month,True,Mailed check
2273-QCKXA,Month-to-month,False,Mailed check
0731-EBJQB,One year,True,Electronic check
1891-QRQSA,Two year,True,Bank transfer (automatic)
8028-PNXHQ,Two year,True,Bank transfer (automatic)
5630-AHZIL,Month-to-month,True,Bank transfer (automatic)
2673-CXQEU,One year,False,Electronic check
6416-JNVRK,One year,False,Credit card (automatic)
5590-ZSKRV,Month-to-month,False,Mailed check
0191-ZHSKZ,Month-to-month,True,Electronic check
3887-PBQAO,One year,True,Credit card (automatic)
5919-TMRGD,Month-to-month,True,Electronic check
8108-UXRQN,Month-to-month,False,Electronic check
9191-MYQKX,Month-to-month,True,Bank transfer (automatic)
9919-YLNNG,Month-to-month,True,Bank transfer (automatic)
0318-ZOPWS,Two year,True,Bank transfer (automatic)
4445-ZJNMU,Month-to-month,True,Credit card (automatic)
4808-YNLEU,One year,True,Bank transfer (automatic)
1862-QRWPE,Two year,False,Bank transfer (automatic)
2796-NNUFI,Two year,True,Mailed check
3016-KSVCP,Month-to-month,False,Mailed check
4767-HZZHQ,Month-to-month,False,Bank transfer (automatic)
2424-WVHPL,Month-to-month,False,Electronic check
7233-PAHHL,Two year,True,Mailed check
6067-NGCEU,Month-to-month,True,Credit card (automatic)
9848-JQJTX,Two year,True,Bank transfer (automatic)
8637-XJIVR,Month-to-month,True,Electronic check
9803-FTJCG,One year,True,Credit card (automatic)
0278-YXOOG,Month-to-month,False,Mailed check
