customer_id,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
7590-VHVEG,DSL,No,Yes,No,No,No,No
5575-GNVDE,DSL,Yes,No,Yes,No,No,No
3668-QPYBK,DSL,Yes,Yes,No,No,No,No
7795-CFOCW,DSL,Yes,No,Yes,Yes,No,No
9237-HQITU,Fiber optic,No,No,No,No,No,No
9305-CDSKC,Fiber optic,No,No,Yes,No,Yes,Yes
1452-KIOVK,Fiber optic,No,Yes,No,No,Yes,No
6713-OKOMC,DSL,Yes,No,No,No,No,No
7892-POOKP,Fiber optic,No,No,Yes,Yes,Yes,Yes
6388-TABGU,DSL,Yes,Yes,No,No,No,No
9763-GRSKD,DSL,Yes,No,No,No,No,No
7469-LKBCI,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8091-TTVAX,Fiber optic,No,No,Yes,No,Yes,Yes
0280-XJGEX,Fiber optic,No,Yes,Yes,No,Yes,Yes
5129-JLPIS,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
3655-SNQYZ,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
8191-XWSZG,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9959-WOFKT,Fiber optic,Yes,No,Yes,No,Yes,Yes
4190-MFLUW,DSL,No,No,Yes,Yes,No,No
4183-MYFRB,Fiber optic,No,Yes,Yes,No,No,Yes
8779-QRDMV,DSL,No,No,Yes,No,No,Yes
1680-VDCWW,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1066-JKSGK,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3638-WEABW,DSL,No,Yes,No,Yes,No,No
6322-HRPFA,DSL,Yes,Yes,No,Yes,No,No
6865-JZNKO,DSL,Yes,Yes,No,No,No,No
6467-CHFZW,Fiber optic,No,Yes,No,No,Yes,Yes
8665-UTDHZ,DSL,No,Yes,No,No,No,No
5248-YGIJN,DSL,Yes,Yes,Yes,Yes,Yes,Yes
8773-HHUOZ,DSL,No,No,No,No,Yes,Yes
3841-NFECX,Fiber optic,Yes,Yes,Yes,Yes,No,No
4929-XIHVW,Fiber optic,No,No,Yes,No,Yes,Yes
6827-IEAUQ,DSL,Yes,Yes,Yes,Yes,No,No
7310-EGVHZ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3413-BMNZE,DSL,No,No,No,No,No,No
6234-RAAPL,Fiber optic,Yes,Yes,No,Yes,Yes,No
6047-YHPVI,Fiber optic,No,No,No,No,No,No
6572-ADKRS,Fiber optic,No,No,Yes,No,No,No
5380-WJKOV,Fiber optic,No,Yes,Yes,No,Yes,Yes
8168-UQWWF,Fiber optic,No,No,Yes,No,Yes,Yes
8865-TNMNX,DSL,No,Yes,No,No,No,No
9489-DEDVP,DSL,Yes,Yes,No,No,Yes,No
9867-JCZSP,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4671-VJLCL,DSL,Yes,Yes,Yes,Yes,Yes,No
4080-IIARD,DSL,Yes,Yes,No,Yes,Yes,No
3714-NTNFO,Fiber optic,No,No,No,No,No,Yes
5948-UJZLF,DSL,No,Yes,No,No,No,No
7760-OYPDY,Fiber optic,No,No,No,No,Yes,No
7639-LIAYI,DSL,Yes,No,No,Yes,Yes,Yes
2954-PIBKO,DSL,Yes,No,Yes,Yes,No,No
8012-SOUDQ,Fiber optic,No,Yes,No,No,Yes,No
9420-LOJKX,Fiber optic,Yes,Yes,No,No,Yes,Yes
6575-SUVOI,DSL,Yes,No,No,Yes,Yes,No
7495-OOKFY,Fiber optic,No,Yes,No,No,No,No
4667-QONEA,DSL,Yes,Yes,Yes,Yes,No,Yes
1658-BYGOY,Fiber optic,No,No,No,No,Yes,Yes
8769-KKTPH,Fiber optic,Yes,No,No,No,Yes,Yes
5067-XJQFU,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3957-SQXML,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5954-BDFSG,Fiber optic,No,No,Yes,Yes,Yes,Yes
0434-CSFON,Fiber optic,No,No,Yes,No,Yes,Yes
1215-FIGMP,Fiber optic,No,Yes,No,No,Yes,No
0526-SXDJP,DSL,Yes,Yes,Yes,No,No,No
0557-ASKVU,DSL,No,No,Yes,Yes,No,No
5698-BQJOH,Fiber optic,No,No,No,No,Yes,Yes
5122-CYFXA,DSL,No,Yes,No,Yes,Yes,Yes
8627-ZYGSZ,Fiber optic,No,Yes,No,No,No,No
3410-YOQBQ,DSL,No,Yes,Yes,Yes,Yes,Yes
3170-NMYVV,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7410-OIEDU,Fiber optic,Yes,No,Yes,No,No,No
2273-QCKXA,DSL,No,No,No,Yes,No,No
0731-EBJQB,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1891-QRQSA,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
8028-PNXHQ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5630-AHZIL,DSL,Yes,No,No,Yes,No,Yes
2673-CXQEU,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
6416-JNVRK,DSL,No,No,No,No,No,Yes
5590-ZSKRV,DSL,Yes,Yes,No,No,No,No
0191-ZHSKZ,DSL,Yes,Yes,No,No,Yes,Yes
3887-PBQAO,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5919-TMRGD,Fiber optic,No,No,No,No,Yes,No
8108-UXRQN,DSL,Yes,No,No,No,Yes,Yes
9191-MYQKX,Fiber optic,No,No,Yes,No,No,No
9919-YLNNG,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0318-ZOPWS,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4445-ZJNMU,Fiber optic,No,Yes,No,No,Yes,Yes
4808-YNLEU,DSL,Yes,No,No,No,Yes,No
1862-QRWPE,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2796-NNUFI,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3016-KSVCP,DSL,No,No,No,No,Yes,No
4767-HZZHQ,Fiber optic,No,Yes,Yes,No,No,No
2424-WVHPL,Fiber optic,No,No,No,Yes,No,No
7233-PAHHL,DSL,Yes,No,Yes,Yes,Yes,Yes
6067-NGCEU,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9848-JQJTX,Fiber optic,No,Yes,Yes,No,Yes,Yes
8637-XJIVR,Fiber optic,Yes,No,No,No,No,No
9803-FTJCG,DSL,Yes,Yes,No,Yes,No,No
0278-YXOOG,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3212-KXOCR,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4598-XLKNJ,Fiber optic,No,Yes,Yes,No,Yes,Yes
6380-ARCEH,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3679-XASPY,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7123-WQUHX,Fiber optic,No,No,Yes,Yes,Yes,No
5386-THSLQ,DSL,No,Yes,Yes,No,Yes,No
3192-NQECA,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
6180-YBIQI,DSL,No,No,No,No,No,No
6728-DKUCO,Fiber optic,Yes,Yes,No,No,Yes,Yes
9750-BOOHV,DSL,Yes,No,No,No,No,No
8597-CWYHH,Fiber optic,No,No,No,No,Yes,Yes
2848-YXSMW,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0486-HECZI,Fiber optic,Yes,Yes,No,No,Yes,No
4549-ZDQYY,DSL,Yes,No,Yes,Yes,No,No
5712-AHQNN,Fiber optic,No,Yes,Yes,No,Yes,No
4846-WHAFZ,Fiber optic,No,No,No,No,No,No
5256-SKJGO,DSL,No,Yes,No,Yes,Yes,Yes
3071-VBYPO,Fiber optic,Yes,Yes,No,No,Yes,No
9560-BBZXK,DSL,Yes,No,No,No,No,No
5299-RULOA,Fiber optic,Yes,No,No,No,Yes,Yes
8402-OOOHJ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9445-ZUEQE,Fiber optic,No,Yes,No,Yes,No,No
1091-SOZGA,Fiber optic,No,No,Yes,No,Yes,Yes
2928-HLDBA,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0404-SWRVG,Fiber optic,No,No,No,No,No,No
6497-TILVL,DSL,Yes,No,No,No,No,No
7219-TLZHO,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4622-YNKIJ,Fiber optic,Yes,No,No,Yes,Yes,No
4412-YLTKF,Fiber optic,No,No,Yes,No,No,No
6734-PSBAW,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3930-ZGWVE,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2639-UGMAZ,DSL,Yes,Yes,No,No,Yes,Yes
2876-GZYZC,Fiber optic,No,No,No,No,No,Yes
6207-WIOLX,DSL,Yes,Yes,Yes,No,Yes,Yes
8587-XYZSF,DSL,No,No,No,Yes,No,No
3091-FYHKI,DSL,No,No,No,No,No,Yes
2372-HWUHI,DSL,No,No,No,No,No,No
7799-LGRDP,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7850-VWJUU,Fiber optic,Yes,No,No,No,No,No
3774-VBNXY,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6217-KDYWC,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0390-DCFDQ,Fiber optic,No,No,No,No,No,No
3146-MSEGF,DSL,Yes,Yes,Yes,Yes,Yes,Yes
4080-OGPJL,DSL,Yes,No,No,Yes,No,Yes
1095-WGNGG,Fiber optic,No,Yes,No,No,Yes,Yes
2636-SJDOU,Fiber optic,Yes,Yes,No,No,No,No
1131-QQZEB,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5716-EZXZN,Fiber optic,Yes,Yes,No,Yes,Yes,No
6837-BJYDQ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2135-RXIHG,DSL,No,No,No,No,No,No
6440-DKQGE,DSL,No,Yes,Yes,No,Yes,No
3466-BYAVD,DSL,No,Yes,Yes,Yes,No,Yes
3780-YVMFA,DSL,No,No,No,Yes,Yes,Yes
3874-EQOEP,Fiber optic,No,No,No,No,Yes,Yes
1679-JRFBR,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9073-ZZIAY,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3077-RSNTJ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6551-GNYDG,Fiber optic,No,No,No,No,No,Yes
9167-APMXZ,Fiber optic,No,No,No,No,Yes,No
2749-CTKAJ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6371-NZYEG,DSL,Yes,No,Yes,No,Yes,No
7554-NEWDD,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8992-VONJD,DSL,Yes,Yes,No,No,No,No
0867-MKZVY,Fiber optic,Yes,No,No,No,No,No
4482-EWFMI,Fiber optic,No,No,No,No,No,No
