customer_id,has_phone_service,multiple_lines
7590-VHVEG,False,No phone service
5575-GNVDE,True,No
3668-QPYBK,True,No
7795-CFOCW,False,No phone service
9237-HQITU,True,No
9305-CDSKC,True,Yes
1452-KIOVK,True,Yes
6713-OKOMC,False,No phone service
7892-POOKP,True,Yes
6388-TABGU,True,No
9763-GRSKD,True,No
7469-LKBCI,True,No
8091-TTVAX,True,Yes
0280-XJGEX,True,Yes
5129-JLPIS,True,No
3655-SNQYZ,True,Yes
8191-XWSZG,True,No
9959-WOFKT,True,Yes
4190-MFLUW,True,No
4183-MYFRB,True,No
8779-QRDMV,False,No phone service
1680-VDCWW,True,No
1066-JKSGK,True,No
3638-WEABW,True,Yes
6322-HRPFA,True,No
6865-JZNKO,True,No
6467-CHFZW,True,Yes
8665-UTDHZ,False,No phone service
5248-YGIJN,True,Yes
8773-HHUOZ,True,No
3841-NFECX,True,Yes
4929-XIHVW,True,No
6827-IEAUQ,True,No
7310-EGVHZ,True,No
3413-BMNZE,True,No
6234-RAAPL,True,Yes
6047-YHPVI,True,No
6572-ADKRS,True,No
5380-WJKOV,True,Yes
8168-UQWWF,True,Yes
8865-TNMNX,True,No
9489-DEDVP,True,Yes
9867-JCZSP,True,No
4671-VJLCL,True,Yes
4080-IIARD,True,Yes
3714-NTNFO,True,Yes
5948-UJZLF,True,No
7760-OYPDY,True,No
7639-LIAYI,True,Yes
2954-PIBKO,True,Yes
8012-SOUDQ,True,Yes
9420-LOJKX,True,No
6575-SUVOI,True,Yes
7495-OOKFY,True,Yes
4667-QONEA,True,No
1658-BYGOY,True,Yes
8769-KKTPH,True,Yes
5067-XJQFU,True,Yes
3957-SQXML,True,Yes
5954-BDFSG,True,Yes
0434-CSFON,True,Yes
1215-FIGMP,True,Yes
0526-SXDJP,False,No phone service
0557-ASKVU,True,No
5698-BQJOH,True,Yes
5122-CYFXA,True,No
8627-ZYGSZ,True,Yes
3410-YOQBQ,True,No
3170-NMYVV,True,No
7410-OIEDU,True,No
2273-QCKXA,True,No
0731-EBJQB,True,No
1891-QRQSA,True,Yes
8028-PNXHQ,True,Yes
5630-AHZIL,True,No
2673-CXQEU,True,Yes
6416-JNVRK,True,No
5590-ZSKRV,True,No
0191-ZHSKZ,True,No
3887-PBQAO,True,Yes
5919-TMRGD,True,No
8108-UXRQN,False,No phone service
9191-MYQKX,True,No
9919-YLNNG,True,No
0318-ZOPWS,True,No
4445-ZJNMU,True,Yes
4808-YNLEU,True,No
1862-QRWPE,True,No
2796-NNUFI,True,No
3016-KSVCP,False,No phone service
4767-HZZHQ,True,No
2424-WVHPL,True,No
7233-PAHHL,True,Yes
6067-NGCEU,True,Yes
9848-JQJTX,True,Yes
8637-XJIVR,True,Yes
9803-FTJCG,True,Yes
0278-YXOOG,True,No
3212-KXOCR,True,No
4598-XLKNJ,True,No
6380-ARCEH,True,No
3679-XASPY,True,No
7123-WQUHX,True,Yes
5386-THSLQ,False,No phone service
3192-NQECA,True,Yes
6180-YBIQI,False,No phone service
6728-DKUCO,True,Yes
9750-BOOHV,False,No phone service
8597-CWYHH,True,Yes
2848-YXSMW,True,No
0486-HECZI,True,Yes
4549-ZDQYY,True,No
5712-AHQNN,True,No
4846-WHAFZ,True,Yes
5256-SKJGO,False,No phone service
3071-VBYPO,True,No
9560-BBZXK,False,No phone service
5299-RULOA,True,Yes
8402-OOOHJ,True,No
9445-ZUEQE,True,Yes
1091-SOZGA,True,Yes
2928-HLDBA,True,No
0404-SWRVG,True,Yes
6497-TILVL,True,No
7219-TLZHO,True,No
4622-YNKIJ,True,No
4412-YLTKF,True,Yes
6734-PSBAW,True,Yes
3930-ZGWVE,True,No
2639-UGMAZ,False,No phone service
